,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies
1,1077430,2500.0,2500.0,2500.0, 60 MONTHS,15.27,59.83,C,C4,RYDER,< 1 YEAR,RENT,30000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,CAR,309XX,GA,1.0,0,1999-04-01,5,3,0,1687,9.4,4,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,2013-04-01,119.66,2013-09-01,0.0
8,1071795,5600.0,5600.0,5600.0, 60 MONTHS,21.28,152.39,F,F2,,4 YEARS,OWN,40000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,958XX,CA,5.55,0,2004-04-01,2,11,0,5210,32.6,13,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,2012-04-01,152.39,2012-08-01,0.0
9,1071570,5375.0,5375.0,5350.0, 60 MONTHS,12.69,121.45,B,B5,STARBUCKS,< 1 YEAR,RENT,15000.0,VERIFIED,2011-12-01,CHARGED OFF,OTHER,774XX,TX,18.08,0,2004-09-01,0,2,0,9279,36.5,3,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,2012-11-01,121.45,2013-03-01,0.0
12,1064687,9000.0,9000.0,9000.0, 36 MONTHS,13.49,305.38,C,C1,VA. DEPT OF CONSERVATION/RECREATION,< 1 YEAR,RENT,30000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,245XX,VA,10.08,0,2004-04-01,1,4,0,10452,91.7,9,0.0,0.0,2270.7,2270.7,1256.14,570.26,0.0,444.3,4.16,2012-07-01,305.38,2012-11-01,0.0
14,1069057,10000.0,10000.0,10000.0, 36 MONTHS,10.65,325.74,B,B2,SFMTA,3 YEARS,RENT,100000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,OTHER,951XX,CA,7.06,0,1991-05-01,2,14,0,11997,55.5,29,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,2013-10-01,325.74,2014-03-01,0.0
21,1039153,21000.0,21000.0,21000.0, 36 MONTHS,12.42,701.73,B,B4,OSRAM SYLVANIA,10+ YEARS,RENT,105000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,335XX,FL,13.22,0,1983-02-01,0,7,0,32135,90.3,38,0.0,0.0,14025.4,14025.4,10694.96,3330.44,0.0,0.0,0.0,2013-09-01,701.73,2016-05-01,0.0
24,1069559,6000.0,6000.0,6000.0, 36 MONTHS,11.71,198.46,B,B3,BMG-EDUCATIONAL,1 YEAR,RENT,76000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,MAJOR_PURCHASE,900XX,CA,2.4,0,2001-06-01,1,7,0,5963,29.7,7,0.0,0.0,2050.14,2050.14,1305.58,475.25,0.0,269.31,2.57,2012-10-01,198.46,2013-03-01,0.0
26,1069800,15000.0,15000.0,8725.0, 36 MONTHS,14.27,514.64,C,C2,NYC TRANSIT,9 YEARS,RENT,60000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,103XX,NY,15.22,0,2003-10-01,1,7,0,5872,57.6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-05-01,0.0
27,1069657,5000.0,5000.0,5000.0, 60 MONTHS,16.77,123.65,D,D2,FRITO LAY,2 YEARS,RENT,50004.0,NOT VERIFIED,2011-12-01,CHARGED OFF,OTHER,150XX,PA,13.97,3,2003-10-01,0,14,0,4345,59.5,22,0.0,0.0,1609.12,1609.12,629.05,719.11,0.0,260.96,2.3,2012-12-01,123.65,2013-05-01,0.0
46,1069465,5000.0,5000.0,5000.0, 36 MONTHS,8.9,158.77,A,A5,STERIS CORPORATION,10+ YEARS,MORTGAGE,100000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,441XX,OH,16.33,0,1995-06-01,0,17,0,74351,62.1,35,0.0,0.0,5021.37,5021.37,4217.38,696.99,0.0,107.0,1.07,2014-08-01,158.77,2014-12-01,0.0
50,1069248,15000.0,15000.0,15000.0, 36 MONTHS,9.91,483.38,B,B1,CATERPILLAR INC.,8 YEARS,MORTGAGE,80000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,616XX,IL,9.12,0,1992-04-01,2,9,0,11845,63.7,28,0.0,0.0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,2014-10-01,483.38,2015-03-01,0.0
53,1069243,12000.0,12000.0,12000.0, 36 MONTHS,15.96,421.65,C,C5,CHEMAT TECHNOLOGY INC,4 YEARS,RENT,50000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,CAR,914XX,CA,20.88,0,2006-10-01,2,11,0,15793,90.8,11,0.0,0.0,3521.95,3521.95,1903.66,1039.35,0.0,578.94,5.49,2012-08-01,421.65,2012-12-01,0.0
55,1069410,21000.0,21000.0,20975.0, 60 MONTHS,19.91,555.33,E,E4,COSTCO,7 YEARS,RENT,50000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,980XX,WA,21.58,0,1998-09-01,1,7,0,19448,97.6,14,0.0,0.0,18319.14,18297.35,8990.81,9328.33,0.0,0.0,0.0,2014-10-01,555.33,2016-05-01,0.0
64,1069126,10000.0,10000.0,9975.0, 60 MONTHS,10.65,215.69,B,B2,CEC ENTERTAINMENT INC,10+ YEARS,RENT,45996.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,440XX,OH,21.73,0,1997-05-01,1,7,0,11170,30.1,15,0.0,0.0,8772.91,8751.08,5495.38,2429.23,1.0,847.3,152.514,2015-04-01,1.0,2015-06-01,0.0
66,1069093,12500.0,8925.0,8925.0, 60 MONTHS,17.27,223.11,D,D3,GRANDMA KITCHEN,5 YEARS,RENT,30000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,559XX,MN,13.16,0,1995-04-01,0,7,1,9844,70.8,28,0.0,0.0,5577.75,5577.75,2812.82,2742.43,0.0,22.5,0.0,2014-02-01,223.11,2016-05-01,1.0
68,1068906,8200.0,8200.0,8200.0, 60 MONTHS,21.28,223.14,F,F2,AUTOZONE,4 YEARS,RENT,75000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,912XX,CA,12.48,0,2000-01-01,3,6,0,9012,73.9,11,0.0,0.0,4173.57,4173.57,1525.83,2265.85,0.0,381.89,3.6,2013-06-01,223.14,2013-10-01,0.0
71,1060981,6400.0,6400.0,6400.0, 36 MONTHS,16.77,227.45,D,D2,"RIVERSIDE COUNTY, CALIFORNIA",5 YEARS,RENT,75000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,923XX,CA,20.22,0,1994-12-01,0,9,0,7159,67.5,27,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,2013-10-01,227.45,2016-05-01,0.0
97,1068542,17500.0,17500.0,17500.0, 60 MONTHS,17.27,437.47,D,D3,TRAVELERS INSURANCE,7 YEARS,MORTGAGE,45000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,992XX,WA,21.31,0,2002-09-01,2,13,0,20129,86.1,26,0.0,0.0,10037.1,10037.1,3077.85,3473.25,0.0,3486.0,625.617,2013-04-01,437.47,2015-12-01,0.0
100,1068509,6200.0,6200.0,6200.0, 36 MONTHS,9.91,199.8,B,B1,SUNRISE SENIOR LIVING,2 YEARS,RENT,25000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,902XX,CA,20.64,0,1998-05-01,2,7,0,6533,47.7,12,0.0,0.0,2452.22,2452.22,1700.79,493.16,0.0,258.27,2.54,2012-12-01,199.8,2013-05-01,0.0
105,1068309,18825.0,18825.0,18800.0, 60 MONTHS,16.77,465.53,D,D2,TEXAS HEALTH & HUMAN SERVICES COMMISSION,10+ YEARS,RENT,38000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,787XX,TX,23.18,0,2004-12-01,0,6,0,11004,79.7,7,0.0,0.0,18749.25,18724.53,8087.75,6786.71,0.0,3874.79,670.8193,2014-09-01,465.53,2016-05-01,0.0
114,1068012,10000.0,10000.0,10000.0, 36 MONTHS,18.25,362.78,D,D5,GUCCI GROUP/ YVES SAINT LAURENT,1 YEAR,RENT,75000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,900XX,CA,24.14,0,1997-03-01,0,9,0,22828,96.3,26,0.0,0.0,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,2015-01-01,200.0,2015-01-01,0.0
120,1068202,25000.0,25000.0,23088.16106, 60 MONTHS,13.49,575.12,C,C1,MIDNIGHT,10+ YEARS,MORTGAGE,67000.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,996XX,AK,14.15,0,1999-08-01,0,6,0,15319,91.2,21,0.0,0.0,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,2015-03-01,1179.0,2015-07-01,0.0
121,1068006,19750.0,19750.0,19725.0, 36 MONTHS,10.65,643.33,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 YEARS,RENT,45000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,974XX,OR,22.8,0,2000-09-01,0,12,0,16576,54.2,28,0.0,0.0,11930.65,11915.62,8590.58,2698.78,0.0,641.29,6.412899997,2013-09-01,787.01,2013-11-01,0.0
124,1068179,28000.0,11800.0,11775.0, 60 MONTHS,19.91,312.04,E,E4,AMERICAN AIRLINES,10+ YEARS,RENT,52000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,752XX,TX,20.7,0,1988-12-01,0,10,0,29178,87.6,16,0.0,0.0,12173.07,12147.29,4281.54,4759.37,0.0,3132.16,563.7888,2014-06-01,312.04,2014-09-01,0.0
131,1066215,24000.0,24000.0,24000.0, 36 MONTHS,15.96,843.3,C,C5,LAFIDALE INC,8 YEARS,MORTGAGE,90000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,HOME_IMPROVEMENT,927XX,CA,9.17,0,1995-06-01,1,9,0,30952,71.2,23,0.0,0.0,5895.68,5895.68,3813.57,2082.11,0.0,0.0,0.0,2012-08-01,843.3,2016-05-01,0.0
